Yorum,Derecelendirme,Tarih
Çok kullanışlı ve faydalı bir paylaşım sitesi👍,5,2023-07-18 07:51:03
Bu uygulamayı tercih ediyorum,1,2023-07-18 07:50:56
Neden 2-3 dakikalık videoyu paylaşamıyoruz ki Olmuyor Olmuyor Olmuyor Instagram'dan çok sıkıldım,1,2023-07-18 07:47:08
Bir yıldızı bile zor hakediyorsunuz iğrenç içerikleri gösterip milletin yediği içtiği pislikleri göstermelerine izin veriyorsunuz bir işe yaramayan instagram hiç bir şeye katkınız yok Ünlü ünsüz kişilerin mide bulandırıcı fotoğraflarını görmek zorunda değiliz,1,2023-07-18 07:33:44
Notlara müzik ekliyemiyorum çok saçma değil mi,1,2023-07-18 07:27:18
Bir yıldızı hak etmiyor hakkım haram olsun boş yere hesabım askıya alındı ve telefonum yok numara istiyor giremiyorum ahlaksız namussuzlar hakkım haram zıkkım olsun,1,2023-07-18 06:25:46
Muk,5,2023-07-18 05:24:28
Sizin yapacağınız uygulamaya.. küfürlü kavga çıkarıyoruz diye hemen topluluk ihlali sizene olm delirtmeyin adamı. Bu arkadaş ile benim aramda olan bir şey. Hadi bide gerçek hayatta yapalım nasıl izlersiniz.,2,2023-07-18 05:15:09
İyi,2,2023-07-18 04:45:19
Pokox3 nfc cihazında akışta görüntüler yüklenemiyor,1,2023-07-18 04:36:58
Bende beğeni sayısı gözükmüyo ve Instagrama gelen güncellemeler bende olmuyo,2,2023-07-18 04:24:28
❤️❤️,5,2023-07-18 03:41:46
TİK TOKTAN 1000000 KAT DAHA İYİ 💜🔥,5,2023-07-18 03:10:30
عالی,5,2023-07-18 03:03:42
Müp,5,2023-07-18 02:54:11
hala eski surumu kullanıyorum kac kere guncellememe ragmen silip yuklememe ragmen hala yeni surume gecemedim,3,2023-07-18 02:51:43
"Redmi Note 11 pro kullanıyorum, reels larda donma sorunu var. Telefonumun özellikleri fazlasıyla yeterli. Diğer uygulamalarda böyle bir sorun yaşamıyorum.",1,2023-07-18 02:16:51
Mavi tikim gelmedi . Onay istiyorum .,5,2023-07-18 02:15:02
Son güncelleme rezalet... Eskiden yorum yazarken alt alta tüm yazdıklarınızı görür ve enter'a basardınız. Şimdi yazdığınız metni bütün olarak goremiyosunuz.kelimeler gizlene gizlene yaziliyor. Ne yazdığınızı bütün olarak göremiyorsunuz. Sakın güncellemeyin.ayrica Çok kötü bir uygulama bir yorum yaptınız yanlış gitti Metin düzenleme yok.. o yorumu silip yeni baştan yapmalısınız ki kim uğraşacak. Bir de uygulama bölünmüş ekranları desteklemeli..,1,2023-07-18 02:02:46
Hakkımı helal etmiyorum. Hesabıma o kadar emek verdim ve hesabımı kapattınız.,1,2023-07-18 02:01:22
İnstagram eşittir sürekli saçmalamak.,1,2023-07-18 01:54:59
Ok,5,2023-07-18 01:50:57
Uygulamayı güncellememe rağmen hala daha notlar kısmı düzelmedi müzik ekleyemiyorum defalarca sorun bildirdim yine düzelme yok sinirim bozuluyor artık lütfen bu sorunu düzeltin,1,2023-07-18 01:50:30
Yooookk,5,2023-07-18 01:45:38
Cox gozel bir proqram her zeheti iyle tavsiye ederim,5,2023-07-18 01:42:01
Instagram güzel amaabim,4,2023-07-18 01:37:35
Wery good,5,2023-07-18 01:26:09
Takip ettiğiniz kişiler bitince listeyi tekrardan başa sarıyor,5,2023-07-18 01:18:38
Neden instegram askıya alınıyor ikide bir ya bu ne gerçekten şikayetçiyim,2,2023-07-18 01:11:26
Instigram an itibari ile çökmüştür ve sahipsiz kalmıştır hesabı özel yapamıyorsun işletme yapamıyorsun çakıldı kali öylece,5,2023-07-18 01:10:59
Müq,5,2023-07-18 01:04:34
Çok iyi indirin,5,2023-07-18 01:02:57
Görün diye yazıyorum instagramim güncel değil messenger simgesi yok dm de lütfen güncelleyin hesabımı,5,2023-07-18 00:54:26
Mükemmel,5,2023-07-18 00:51:43
Superrr.,5,2023-07-18 00:45:32
Evet çok güzel bir uygulama sizde tavsiye ederim hemen indirin bakın,5,2023-07-18 00:45:31
uygulamaya video düzenle ekranı koymuşlar video düzenlerken yazı ve müzik ekledikten sonra donuyor ve asla o videoyu paylaşamiyorum sorun sadece bende mi oluyor bilmiyorum ama bunun bı çözümü yok mu,1,2023-07-18 00:42:39
Cok iyi,5,2023-07-18 00:42:23
Yarragima benziyor,5,2023-07-18 00:38:51
Tek kelime mük,5,2023-07-18 00:32:30
Çok güzel bir uygulama can sıkıntısına birebir çözüm,5,2023-07-18 00:31:37
Bir hesabımda Pp büyütme özelliği varken diğer hesabımda yok bunu nasıl çözebilirim,3,2023-07-18 00:28:24
1 çünkü neden olmasin,1,2023-07-18 00:24:26
Çok iyi tafsiye ederim,5,2023-07-18 00:21:04
Mükemmel bir sosyal medya hesabı,5,2023-07-18 00:08:56
Ya şu reels izlerken neden reklam geliyor çok saçma bu sorum çözülmezse uygulamayın sileceğim maalesef,3,2023-07-18 00:07:18
Baya iyi bir uygulama,5,2023-07-18 00:04:27
Mujkkkk abi cidden,5,2023-07-18 00:03:43
Mükemmel,5,2023-07-18 00:02:53
I can't get into Instagram.,1,2023-07-18 00:01:52
Instagramda sorun var her şey bir birine qarisiyor mesajlar yok oluyor,1,2023-07-17 23:52:48
Uygulamaya girmiyor hemen atıyor düzeltilmesi lazim,1,2023-07-17 23:47:39
Eyyyy,3,2023-07-17 23:45:22
Çok güzel bir uygulama,5,2023-07-17 23:44:14
Ya bune saçma bi uygulamaya döndü hesabımdan beni atıyo? Aptal.aptal işler yapmayin,1,2023-07-17 23:43:33
Çok güzel,5,2023-07-17 23:40:06
Merhaba hesabim askiya alindi diyor nedeni ne olabilir kime ulasmaliyim bilgi almak icin,5,2023-07-17 23:24:52
👍👍👍👍✅❤️,5,2023-07-17 23:21:32
Hesaba giremiyorum kodu SMS olarak gonderiyor ama nereye yazicam söylemiyor lütfen söyler misiniz kodu nereye yazicam.,2,2023-07-17 23:15:39
Uygulama güzel ama bir sorun var reels sekmem gözükmüyor yoksa uygulama güzel,3,2023-07-17 23:13:16
Eskiden videoları telefona indirebiliyorduk şimdi olmuyor sırf bu yüzden sileceğim ve kullanmayacağım artık 😡,1,2023-07-17 23:10:01
İyi,5,2023-07-17 23:09:16
Mükemmel Bir Sosyal Medya Uygulaması.,5,2023-07-17 23:07:57
Keşfet için 5 yıldız,5,2023-07-17 23:07:43
Resim büyümüyor,1,2023-07-17 23:06:05
Mohtesem,5,2023-07-17 23:01:31
❤️‍🩹,5,2023-07-17 22:53:37
İyimiş😅,5,2023-07-17 22:46:50
Muqqq,5,2023-07-17 22:43:05
Guzell,5,2023-07-17 22:39:01
androidde instagram mi kullanilir amk,1,2023-07-17 22:36:00
İyice sinir bozmaya başlayan bir uygulama olmaya başladı şimdide reel videoların altına ilgileniyorum ilgilenmiyorum çıkmış bunları yapana kadar insanların yazdıklarını okuyun yine güncelleme yine berbat videom ekrana yapıştı video paylaşılamıyor diye karşımda LÜTFEN İŞİNİZİ DÜZGÜN YAPIN,1,2023-07-17 22:32:18
En beğendiğim en kaliteli sosyal medya,5,2023-07-17 22:23:19
İyi,5,2023-07-17 22:21:22
Cok gereksiz tanitimlar yapiliyor,1,2023-07-17 22:08:39
@rap_2easy,5,2023-07-17 22:08:22
Berbat,1,2023-07-17 22:06:13
Çok iyiiii,5,2023-07-17 22:03:48
Çok güzel İyi bir paylaşım yeri,5,2023-07-17 22:03:12
Banane amk,1,2023-07-17 22:02:33
çok güzel ama editlerimi kimse görmüyo yani keşfete düşmüyor,5,2023-07-17 21:51:48
😄,5,2023-07-17 21:49:30
Azerbaycan Resbulikasi Quba Rayon,5,2023-07-17 21:48:59
Çok kız var hepsi orc aq egolu puanım 1,1,2023-07-17 21:47:50
Çok finiş,5,2023-07-17 21:40:37
2 gündür hesabımda hiç bir aktivite yapamıyorum,1,2023-07-17 21:39:29
Hikâye attım ne yükleniyor ne siliniyor ne yapacağım uzun süredir böyle acil bı çözüm istiyorum,1,2023-07-17 21:38:16
Reklamlar istediğimiz seviyeye ulaşmıyor,1,2023-07-17 21:33:00
Harika bir uygulama herkese hayırlı akşamlar diliyorum,5,2023-07-17 21:29:44
ÇOk iyiii,5,2023-07-17 21:28:52
İyi,5,2023-07-17 21:28:23
Çok iyi sakın kaçırmayın oooooooooooo,5,2023-07-17 21:28:21
Güzel bir oyutu mevcuttur.,5,2023-07-17 21:21:29
5 yildiz,5,2023-07-17 21:20:11
Mük,5,2023-07-17 21:17:31
Açıkçası son zamanlarda attığım bazı storylerin arka plan müzikleri açılmadığını farkettim umarım bir an önce düzeltilir,4,2023-07-17 21:14:40
Her seferinde mesaj gonderimin topluluk kuralları tarafindan kisitlaniyor bir sey yapmamama rağmen,1,2023-07-17 21:13:37
Videoları çok güzel,5,2023-07-17 21:09:52
Neden sıkıntı çıkıyor beyenemiuorm takipten çıkamıyorum takip edemiyorum uygula redediyo,5,2023-07-17 21:07:49
Mq,5,2023-07-17 21:06:07
